order_ID,item_id,item_price,item_quantity,list_price
87536140,62347310,210,12,2520
18900231,77676337,403,15,6045
76736360,10679791,203,10,2030
45456909,42065074,60,10,600
87726459,72024096,173,5,865
52401176,76277795,72,14,1008
44734183,93737272,64,5,320
93870061,64636399,342,11,3762
60781086,62925488,347,4,1388
22162410,90852541,108,12,1296
93237338,85986107,64,12,768
71414805,12869992,426,15,6390
23439283,31655552,308,15,4620
93092616,3915554,389,10,3890
3395356,91594464,199,14,2786
7294488,77905536,204,11,2244
19257488,6138363,75,13,975
46299444,7735905,345,6,2070
60439017,78087811,26,4,104
59115762,83974519,242,12,2904
4137641,62730396,411,12,4932
17849555,10634899,380,12,4560
63530667,34865095,210,10,2100
73820505,6943134,318,4,1272
1047530,63380019,37,12,444
23072893,4434191,340,2,680
4609353,45246876,127,4,508
60843661,28916345,263,3,789
98554294,87303131,241,3,723
9764262,93646321,141,12,1692
84851932,19064710,252,14,3528
49879797,79179546,7,10,70
6108304,9901223,388,2,776
28661474,48486590,338,11,3718
74509867,73241140,461,11,5071
77270290,33225043,445,7,3115
61660748,85849464,185,15,2775
16895461,61217331,23,2,46
24770316,27023297,444,1,444
48590,42395584,493,8,3944
21993909,59652250,163,6,978
50759897,60482075,260,9,2340
19450490,64291710,21,6,126
91363343,76328671,56,10,560
36598694,66006411,424,1,424
8857965,7666162,419,13,5447
13357214,88358680,367,1,367
38083815,73285229,369,2,738
53364012,99550172,15,12,180
26973067,79037433,195,8,1560
5400980,77793560,195,13,2535
31118361,85782259,294,4,1176
73205982,3120699,429,7,3003
89860267,95446394,188,11,2068
7131561,21588419,345,11,3795
46417107,35169499,210,10,2100
9375185,17866620,43,9,387
32010886,52976629,72,4,288
90583520,57400099,43,13,559
1407471,80679257,266,12,3192
88303109,35786757,293,12,3516
16817463,55661225,164,8,1312
35032427,71509792,24,11,264
91735256,13998035,247,5,1235
61002043,17781527,483,2,966
23123410,29758494,161,13,2093
40804767,74675043,297,14,4158
36569304,896832,272,5,1360
86727501,51104566,79,12,948
27752791,81879984,31,15,465
81932375,1112566,298,11,3278
9289451,32449150,292,4,1168
26163369,80159803,60,12,720
47972650,86218320,219,5,1095
1396317,33690704,339,4,1356
59301202,56768282,53,10,530
50609598,69354588,455,10,4550
990110,70441178,87,11,957
49680836,16312951,414,4,1656
20554422,12787357,421,3,1263
43665570,97889403,15,11,165
15184542,63659580,266,8,2128
4212751,53821638,49,1,49
93179973,47229877,237,6,1422
22737083,62288538,433,7,3031
25640168,27991336,489,4,1956
4635406,94597929,232,9,2088
11877448,50111367,405,2,810
9424852,596183,151,8,1208
1087161,65647721,8,1,8
14877780,73306955,273,4,1092
16183605,93748148,70,11,770
73906865,96003985,435,11,4785
92157866,97548256,256,4,1024
85315396,3991015,79,13,1027
73546382,35850144,120,6,720
65326121,97220800,168,10,1680
26891996,54726413,282,2,564
59344636,50648771,216,12,2592
37973490,59886785,230,14,3220
47605817,64234540,313,15,4695
61931763,60942661,297,6,1782
12429547,46297754,309,1,309
80883005,17292351,111,1,111
85262560,40519852,414,6,2484
79313995,53966728,357,8,2856
65877555,34536308,96,6,576
52077739,91719690,157,8,1256
96303412,15954817,212,4,848
70865301,20568962,417,15,6255
12932085,4987529,177,14,2478
